country_name,country_code,year,SE.ADT.LITR.ZS,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS
Argentina,ARG,2010,97.97,111.2,100.15,77.73,14.25,5.15
Argentina,ARG,2011,98.22,110.82,99.77,78.43,14.57,4.65
Argentina,ARG,2012,97.42,111.4,99.59,78.85,15.55,4.5
Argentina,ARG,2013,99.62,109.52,100.65,78.05,14.72,4.35
Argentina,ARG,2014,98.28,110.365,99.69,79.32,13.9,4.73
Argentina,ARG,2015,98.32,111.21,100.29,79.81,14.72,4.56
Argentina,ARG,2016,98.74,109.81,100.01,80.17,13.66,5.32
Argentina,ARG,2017,98.64,111.34,100.64,80.53,12.58,4.74
Argentina,ARG,2018,98.53,110.8,100.6,79.78999999999999,13.1,4.76
Argentina,ARG,2019,97.98,110.3,101.07,79.05,12.48,4.28
Argentina,ARG,2020,98.83000000000001,110.88,100.19,78.93,13.29,4.21
Argentina,ARG,2021,99.68,111.81,100.39,81.1,13.41,4.21
Argentina,ARG,2022,99.41,110.51,100.39,80.79,14.31,4.68
Brazil,BRA,2010,90.81,104.31,96.12,29.59,14.02,5.8
Brazil,BRA,2011,90.16,105.18,96.54,30.87,14.02,5.44
Brazil,BRA,2012,91.0,104.54,96.3,31.62,14.76,5.93
Brazil,BRA,2013,90.82,104.67,96.23,32.06,14.54,6.47
Brazil,BRA,2014,90.41,105.265,96.22,31.5,15.39,5.44
Brazil,BRA,2015,91.22,105.86,95.61,32.31,14.71,5.46
Brazil,BRA,2016,92.12,104.69,96.17,33.2,15.47,6.57
Brazil,BRA,2017,91.49000000000001,104.02,96.42,34.09,16.23,6.1
Brazil,BRA,2018,90.86,103.91999999999999,96.765,33.71,15.26,5.38
Brazil,BRA,2019,90.23,103.82,97.11,34.39,15.49,6.01
Brazil,BRA,2020,92.49,104.63,97.2,34.34,14.65,5.42
Brazil,BRA,2021,92.25,103.27,97.29,34.78,15.22,5.44
Brazil,BRA,2022,92.22,103.27,96.97,36.49,15.67,5.89
China,CHN,2010,93.52,100.09,86.94,24.76,15.53,2.96
China,CHN,2011,94.09,100.09,87.64,26.85,15.33,2.915
China,CHN,2012,93.68,100.75,87.48,27.02,16.07,2.87
China,CHN,2013,94.12,100.1,88.89,29.1,15.16,4.84
China,CHN,2014,93.88,101.32,89.83,29.82,15.81,4.53
China,CHN,2015,95.93,101.15,90.65,29.94,16.07,3.62
China,CHN,2016,94.92,100.935,91.04,31.09,16.41,2.95
China,CHN,2017,94.63,100.72,91.43,31.66,16.63,4.87
China,CHN,2018,95.33,100.55,89.97,33.16,15.63,4.07
China,CHN,2019,95.28,101.0,90.13,34.67,15.48,4.96
China,CHN,2020,95.65,100.815,91.47,34.41,16.14,3.34
China,CHN,2021,96.02,100.63,92.08,36.2,16.8,4.02
China,CHN,2022,96.25,100.88,92.18,36.2,16.25,4.02
Germany,DEU,2010,97.88,102.36,99.23,65.31,9.05,5.42
Germany,DEU,2011,99.41,103.31,98.48,67.61,9.0,4.59
Germany,DEU,2012,98.03,102.91,99.11,65.94,9.07,3.61
Germany,DEU,2013,98.72,103.49,99.06,66.58,9.54,3.6849999999999996
Germany,DEU,2014,99.65,103.36,98.35,66.77,9.82,3.76
Germany,DEU,2015,99.04,102.985,99.26,66.89,9.82,4.82
Germany,DEU,2016,98.35,102.61,99.41,66.61,10.18,5.06
Germany,DEU,2017,98.57,102.23,99.56,67.56,9.72,3.88
Germany,DEU,2018,99.41,102.96000000000001,99.71,66.94,10.61,4.96
Germany,DEU,2019,98.56,103.69,98.26,67.56,9.61,4.64
Germany,DEU,2020,99.13,103.33,98.54,67.71,11.43,4.89
Germany,DEU,2021,99.03,102.47,99.42,68.35,10.21,5.55
Germany,DEU,2022,99.03,102.47,99.43,69.99,9.35,5.55
India,IND,2010,65.11,107.21,70.89,20.41,13.27,4.3
India,IND,2011,66.86,107.21,71.11,20.31,14.77,4.34
India,IND,2012,65.62,107.21,71.1,21.23,14.63,4.68
India,IND,2013,66.15,107.7,71.79,21.66,14.61,3.96
India,IND,2014,66.84,107.55,71.8,22.26,14.7,4.41
