country_name,country_code,indicator_code,first_year,last_year,first_value,last_value,abs_change,pct_change,cagr_pct,trend
Argentina,ARG,SE.ADT.LITR.ZS,2010,2022,97.97,99.41,1.44,1.47,0.12,estagnado
Argentina,ARG,SE.PRM.ENRR,2010,2022,111.2,110.51,-0.69,-0.62,-0.05,estagnado
Argentina,ARG,SE.SEC.ENRR,2010,2022,100.15,100.39,0.24,0.24,0.02,estagnado
Argentina,ARG,SE.TER.ENRR,2010,2022,77.73,80.79,3.06,3.94,0.32,evoluiu
Argentina,ARG,SE.XPD.TOTL.GB.ZS,2010,2022,14.25,14.31,0.06,0.42,0.04,estagnado
Argentina,ARG,SE.XPD.TOTL.GD.ZS,2010,2022,5.15,4.68,-0.47,-9.13,-0.79,regrediu
Brazil,BRA,SE.ADT.LITR.ZS,2010,2022,90.81,92.22,1.41,1.55,0.13,estagnado
Brazil,BRA,SE.PRM.ENRR,2010,2022,104.31,103.27,-1.04,-1.0,-0.08,estagnado
Brazil,BRA,SE.SEC.ENRR,2010,2022,96.12,96.97,0.85,0.88,0.07,estagnado
Brazil,BRA,SE.TER.ENRR,2010,2022,29.59,36.49,6.9,23.32,1.76,evoluiu
Brazil,BRA,SE.XPD.TOTL.GB.ZS,2010,2022,14.02,15.67,1.65,11.77,0.93,evoluiu
Brazil,BRA,SE.XPD.TOTL.GD.ZS,2010,2022,5.8,5.89,0.09,1.55,0.13,estagnado
China,CHN,SE.ADT.LITR.ZS,2010,2022,93.52,96.25,2.73,2.92,0.24,estagnado
China,CHN,SE.PRM.ENRR,2010,2022,100.09,100.88,0.79,0.79,0.07,estagnado
China,CHN,SE.SEC.ENRR,2010,2022,86.94,92.18,5.24,6.03,0.49,evoluiu
China,CHN,SE.TER.ENRR,2010,2022,24.76,36.2,11.44,46.2,3.22,evoluiu
China,CHN,SE.XPD.TOTL.GB.ZS,2010,2022,15.53,16.25,0.72,4.64,0.38,evoluiu
China,CHN,SE.XPD.TOTL.GD.ZS,2010,2022,2.96,4.02,1.06,35.81,2.58,evoluiu
Germany,DEU,SE.ADT.LITR.ZS,2010,2022,97.88,99.03,1.15,1.17,0.1,estagnado
Germany,DEU,SE.PRM.ENRR,2010,2022,102.36,102.47,0.11,0.11,0.01,estagnado
Germany,DEU,SE.SEC.ENRR,2010,2022,99.23,99.43,0.2,0.2,0.02,estagnado
Germany,DEU,SE.TER.ENRR,2010,2022,65.31,69.99,4.68,7.17,0.58,evoluiu
Germany,DEU,SE.XPD.TOTL.GB.ZS,2010,2022,9.05,9.35,0.3,3.31,0.27,evoluiu
Germany,DEU,SE.XPD.TOTL.GD.ZS,2010,2022,5.42,5.55,0.13,2.4,0.2,estagnado
India,IND,SE.ADT.LITR.ZS,2010,2022,65.11,71.25,6.14,9.43,0.75,evoluiu
India,IND,SE.PRM.ENRR,2010,2022,107.21,106.39,-0.82,-0.76,-0.06,estagnado
India,IND,SE.SEC.ENRR,2010,2022,70.89,77.44,6.55,9.24,0.74,evoluiu
India,IND,SE.TER.ENRR,2010,2022,20.41,27.12,6.71,32.88,2.4,evoluiu
India,IND,SE.XPD.TOTL.GB.ZS,2010,2022,13.27,14.77,1.5,11.3,0.9,evoluiu
India,IND,SE.XPD.TOTL.GD.ZS,2010,2022,4.3,3.8,-0.5,-11.63,-1.02,regrediu
Japan,JPN,SE.ADT.LITR.ZS,2010,2022,99.38,99.66,0.28,0.28,0.02,estagnado
Japan,JPN,SE.PRM.ENRR,2010,2022,99.94,101.2,1.26,1.26,0.1,estagnado
Japan,JPN,SE.SEC.ENRR,2010,2022,100.42,99.95,-0.47,-0.47,-0.04,estagnado
Japan,JPN,SE.TER.ENRR,2010,2022,59.91,62.29,2.38,3.97,0.33,evoluiu
Japan,JPN,SE.XPD.TOTL.GB.ZS,2010,2022,10.07,9.58,-0.49,-4.87,-0.41,regrediu
Japan,JPN,SE.XPD.TOTL.GD.ZS,2010,2022,4.69,3.0,-1.69,-36.03,-3.66,regrediu
Nigeria,NGA,SE.ADT.LITR.ZS,2010,2022,60.06,63.57,3.51,5.84,0.47,evoluiu
Nigeria,NGA,SE.PRM.ENRR,2010,2022,84.68,86.3,1.62,1.91,0.16,estagnado
Nigeria,NGA,SE.SEC.ENRR,2010,2022,43.23,48.23,5.0,11.57,0.92,evoluiu
Nigeria,NGA,SE.TER.ENRR,2010,2022,9.43,12.38,2.95,31.28,2.29,evoluiu
Nigeria,NGA,SE.XPD.TOTL.GB.ZS,2010,2022,7.66,7.33,-0.33,-4.31,-0.37,regrediu
Nigeria,NGA,SE.XPD.TOTL.GD.ZS,2010,2022,1.58,2.57,0.99,62.66,4.14,evoluiu
Portugal,PRT,SE.ADT.LITR.ZS,2010,2022,94.27,95.83,1.56,1.65,0.14,estagnado
Portugal,PRT,SE.PRM.ENRR,2010,2022,104.69,104.1,-0.59,-0.56,-0.05,estagnado
Portugal,PRT,SE.SEC.ENRR,2010,2022,109.67,109.29,-0.38,-0.35,-0.03,estagnado
Portugal,PRT,SE.TER.ENRR,2010,2022,61.33,63.63,2.3,3.75,0.31,evoluiu
Portugal,PRT,SE.XPD.TOTL.GB.ZS,2010,2022,10.54,11.16,0.62,5.88,0.48,evoluiu
Portugal,PRT,SE.XPD.TOTL.GD.ZS,2010,2022,5.96,5.61,-0.35,-5.87,-0.5,regrediu
South Africa,ZAF,SE.ADT.LITR.ZS,2010,2022,86.27,88.92,2.65,3.07,0.25,evoluiu
South Africa,ZAF,SE.PRM.ENRR,2010,2022,98.91,96.44,-2.47,-2.5,-0.21,estagnado
South Africa,ZAF,SE.SEC.ENRR,2010,2022,91.48,94.25,2.77,3.03,0.25,evoluiu
South Africa,ZAF,SE.TER.ENRR,2010,2022,18.68,22.16,3.48,18.63,1.43,evoluiu
South Africa,ZAF,SE.XPD.TOTL.GB.ZS,2010,2022,18.43,18.5,0.07,0.38,0.03,estagnado
South Africa,ZAF,SE.XPD.TOTL.GD.ZS,2010,2022,5.68,5.68,0.0,0.0,0.0,estagnado
United States,USA,SE.ADT.LITR.ZS,2010,2022,99.11,98.57,-0.54,-0.54,-0.05,estagnado
United States,USA,SE.PRM.ENRR,2010,2022,100.9,101.1,0.2,0.2,0.02,estagnado
United States,USA,SE.SEC.ENRR,2010,2022,97.3,97.94,0.64,0.66,0.05,estagnado
United States,USA,SE.TER.ENRR,2010,2022,87.07,88.24,1.17,1.34,0.11,estagnado
United States,USA,SE.XPD.TOTL.GB.ZS,2010,2022,13.58,12.76,-0.82,-6.04,-0.52,regrediu
United States,USA,SE.XPD.TOTL.GD.ZS,2010,2022,5.06,5.06,0.0,0.0,0.0,estagnado
