country_name,country_code,indicator_name,indicator_code,year,value
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2010,5.8
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2011,5.44
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2012,5.93
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2013,6.47
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2014,5.44
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2015,5.46
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2016,6.57
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2017,6.1
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2018,5.38
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2019,6.01
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2020,5.42
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2021,5.44
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2022,5.89
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2010,
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2011,14.02
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2012,14.76
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2013,14.54
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2014,15.39
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2015,14.71
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2016,
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2017,16.23
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2018,15.26
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2019,15.49
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2020,14.65
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2021,15.22
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,2022,15.67
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2010,104.31
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2011,105.18
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2012,104.54
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2013,104.67
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,105.86
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,104.69
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2017,104.02
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2018,
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2019,103.82
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2020,104.63
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2021,103.27
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2022,
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2010,96.12
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2011,96.54
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2012,96.3
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2013,96.23
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,96.22
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,95.61
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2016,96.17
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2017,96.42
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2018,
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2019,97.11
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2020,
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2021,97.29
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2022,96.97
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2010,29.59
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2011,30.87
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2012,31.62
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2013,32.06
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,31.5
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,32.31
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2016,33.2
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2017,34.09
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2018,33.71
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2019,34.39
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2020,34.34
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2021,34.78
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2022,36.49
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2010,90.81
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2011,90.16
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2012,91.0
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2013,90.82
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2014,90.41
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2015,91.22
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2016,92.12
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2017,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2018,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2019,90.23
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2020,92.49
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2021,92.25
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,2022,92.22
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2010,5.06
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2011,3.81
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2012,4.87
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2013,5.21
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2014,5.89
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2015,4.69
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2016,4.51
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2017,4.7
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2018,5.55
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2019,5.2
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2020,4.68
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2021,5.31
